task_id,owner,wave,depends_on,scope,commands,artifacts,done_criteria
O-00,O,0,,Create integration branch and output folders,"git checkout -b upgrade/autonomous-rails-ruby-importmap; mkdir -p output/reports output/patch_requests output/metrics","output/reports/phase-0-report.md","Branch exists and folders created"
O-01,O,0,O-00,Baseline diagnostics,"bundle install && bundle exec rails about && bundle exec rails zeitwerk:check && (bundle exec rspec || true) && (bundle exec brakeman --no-pager || true) && (bin/importmap audit || true)","output/reports/phase-0-report.md","Baseline report saved"
A-10,A,1,O-01,CI normalize to RSpec,"edit .github/workflows/ci.yml; bundle exec rails db:prepare && bundle exec rails zeitwerk:check && bundle exec rspec","output/reports/agent-a-wave1.md","CI workflow updated and local checks pass"
A-11,A,1,A-10,Repair/remove invalid legacy specs,"bundle exec rspec","output/reports/agent-a-wave1.md","No hard failures from missing constants/controllers"
A-12,A,1,A-11,Add smoke specs for critical routes,"bundle exec rspec","output/reports/agent-a-wave1.md","Smoke specs exist and pass"
B-10,B,1,O-01,Create app/javascript runtime entrypoint,"mkdir -p app/javascript/{controllers,channels,elements,helpers,legacy}; bundle exec rails zeitwerk:check","output/reports/agent-b-wave1.md","application.js and structure present"
B-11,B,1,B-10,Migrate legacy JS to ES modules,"bundle exec rspec","output/reports/agent-b-wave1.md","legacy behavior moved to app/javascript/legacy"
B-12,B,1,B-11,Replace turbolinks events with turbo events,"rg -n \"turbolinks:load\" app config || true","output/reports/agent-b-wave1.md","No turbolinks:load remains"
B-13,B,1,B-12,Remove runtime JS CDN includes and legacy app/javascripts,"RAILS_ENV=production SECRET_KEY_BASE_DUMMY=1 bin/rails assets:precompile","output/reports/agent-b-wave1.md","No app/javascripts runtime files and no JS CDN script tags in head/layout"
C-10,C,1,O-01,Refactor Virtus usage to ActiveModel,"bundle exec rspec","output/reports/agent-c-wave1.md","No include Virtus.model in app code"
C-11,C,1,C-10,Implement custom type replacements incl. hstore/hash coercion,"bundle exec rspec","output/reports/agent-c-wave1.md","Equivalent behavior validated by specs"
O-20,O,2,A-12|B-13|C-11,Merge wave-1 branches to integration,"git merge upgrade/agent-a-ci-tests && git merge upgrade/agent-b-importmap-runtime && git merge upgrade/agent-c-virtus-removal","output/reports/wave-2-dependencies.md","All wave-1 work merged"
O-21,O,2,O-20,Dependency consolidation remove rails-assets and virtus,"edit Gemfile/Gemfile.lock; bundle install; bin/importmap pin jquery --download; bin/importmap pin nprogress --download; bin/importmap pin select2 --download; bin/importmap pin @ungap/custom-elements --download","output/reports/wave-2-dependencies.md","No rails-assets and no virtus in lockfile"
O-22,O,2,O-21,Wave-2 full validation,"bundle exec rails db:prepare && bin/importmap json && bin/importmap audit && bundle exec rails zeitwerk:check && bundle exec rspec && RAILS_ENV=production SECRET_KEY_BASE_DUMMY=1 bin/rails assets:precompile","output/reports/wave-2-dependencies.md","Wave-2 validations green"
O-30,O,3,O-22,Rails upgrade to 8.1.2,"edit Gemfile; bundle update rails; bundle exec rails about","output/reports/wave-3-rails.md","Rails 8.1.2 in lockfile"
O-31,O,3,O-30,Update Rails configs for 8.1 behavior,"edit config/application.rb config/environments/*","output/reports/wave-3-rails.md","load_defaults and env config updates applied"
O-32,O,3,O-31,Wave-3 full validation,"bundle exec rails db:prepare && bundle exec rails zeitwerk:check && bundle exec rspec && bundle exec brakeman --no-pager && RAILS_ENV=production SECRET_KEY_BASE_DUMMY=1 bin/rails assets:precompile","output/reports/wave-3-rails.md","Wave-3 validations green"
O-40,O,4,O-32,Ruby primary attempt 4.0.1,"edit .ruby-version Gemfile Dockerfile Dockerfile.multistage mise.toml workflow ruby version; bundle update","output/reports/wave-4-ruby.md","Ruby 4.0.1 configured everywhere"
O-41,O,4,O-40,Wave-4 full validation primary,"bundle exec rails db:prepare && bundle exec rails zeitwerk:check && bundle exec rspec && bundle exec brakeman --no-pager && RAILS_ENV=production SECRET_KEY_BASE_DUMMY=1 bin/rails assets:precompile","output/reports/wave-4-ruby.md","Primary validation green"
O-42,O,4,O-41,Fallback rule execute if primary fails after 3 loops,"set ruby to 3.4.latest in owner files; bundle update; rerun validations","output/UPGRADE_BLOCKERS.md|output/reports/wave-4-ruby.md","Fallback green and blockers documented"
D-50,D,5,O-41|O-42,Prepare greenfield cutover runbook and monitoring checklist,"prepare scripts/docs","output/reports/wave-5-cutover.md","Cutover package ready"
O-51,O,5,D-50,Final pre-cutover validation,"bundle exec rails db:prepare && bundle exec rails zeitwerk:check && bundle exec rspec && RAILS_ENV=production SECRET_KEY_BASE_DUMMY=1 bin/rails assets:precompile","output/reports/wave-5-cutover.md","Pre-cutover checks green"
D-52,D,5,O-51,Execute greenfield cutover and smoke checks,"run deploy and smoke for / /accounts /transactions /categories /policies /invoices /logs","output/reports/wave-5-cutover.md","Cutover completed and smoke green"
D-53,D,5,D-52,24h monitoring and hotfix-only policy,"monitor bugsnag 5xx latency; apply hotfix if needed","output/reports/post-cutover-24h.md","No critical unresolved production incidents"
